problemName,vehicleFileID,cutoffTime,problemType,problemTypeString,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runString,numCustomers,timestamp,ofv,bestBound,totalTime,isOptimal,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20170608T122048564577, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:28:09, 1493.040455, -1.000000, 13.967370, False, 2, 8, 180.000000, 157.230477 
20170608T122048564577, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:28:09, 1493.040455, -1.000000, 14.417417, False, 2, 8, 180.000000, 157.230477 
20170608T122048564577, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:28:09, 1493.040455, -1.000000, 14.762742, False, 2, 8, 180.000000, 157.230477 
20170608T122048564577, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:28:10, 1493.040455, -1.000000, 15.070356, False, 2, 8, 180.000000, 157.230477 
20170606T114145593946, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:28:10, 12781.985852, -1.000000, 23.788984, False, 20, 30, 1850.304064, 2261.124481 
20170606T114145593946, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:28:19, 11628.469981, -1.000000, 41.425361, False, 24, 26, 2238.573702, 4281.996917 
20170606T114145593946, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:28:37, 10338.351481, -1.000000, 148.761363, False, 28, 22, 2519.999947, 7522.963924 
20170606T123921635977, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:27:56, 8068.529847, -1.000000, 153.229005, False, 29, 21, 2557.875155, 4370.776806 
20170608T121710107640, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:28, 4193.927950, -1.000000, 153.649612, False, 5, 5, 420.000000, 1518.002599 
20170608T121710107640, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:29, 4185.971098, -1.000000, 153.906542, False, 6, 4, 510.000000, 2293.761346 
20170608T121710107640, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:29, 4176.824293, -1.000000, 154.135340, False, 7, 3, 630.000000, 3712.452960 
20170608T121710107640, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:29, 4176.824293, -1.000000, 154.414174, False, 7, 3, 630.000000, 3506.936625 
20170608T121728978505, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:29, 4839.424859, -1.000000, 154.634431, False, 4, 6, 330.000000, 1538.947178 
20170608T121728978505, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:29, 4839.424859, -1.000000, 154.805522, False, 4, 6, 300.000000, 612.318245 
20170608T121728978505, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:30, 4839.424859, -1.000000, 154.939974, False, 4, 6, 300.000000, 612.318245 
20170608T121728978505, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:30:30, 4824.454485, -1.000000, 155.246409, False, 5, 5, 330.000000, 2267.679677 
20170606T123654604464, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:30:30, 8744.965616, -1.000000, 167.723765, False, 18, 32, 1726.206577, 2301.648952 
20170606T123921635977, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:28:00, 8042.928399, -1.000000, 174.557989, False, 32, 18, 2759.999999, 10101.202248 
